Title,Date,Size,Location,Description,Price
Apartment for sale in Gauthier. 3 comfort...,Published today,"2 bedrooms, 75 m²","Gauthier in
   						Casablanca","lovely apartment for sale. price 1,690,000 dh. 3 living areas, 2 private bathrooms, 75 m². 2 rooms. 1st on the first floor. less than 10 years. floor type: marble. private garden, no lift, balcony.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,690,000 DH
					</span>"
Sell apartment in Ain Diab Extension. 3 l...,Published today,"3 bedrooms, 99 m²","Ain Diab Extension in
   						Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to its
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,068,000 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published today,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Apartment for sale in Ain Diab Extension...,Published today,"3 bedrooms, 89 m²","Ain Diab Extension in
   						Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to its
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,453,000 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published today,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Apartment for rent in Casablanca Finance...,Published today,"1 bedroom, 87 m²","Casablanca Finance City in
   					Casablanca","get a great deal by buying this apartment. price 1,800,000 dh. 2 living areas, 1 bathroom, area 87 m². 1 bedroom. good condition. robust door, traditional moroccan living room, general satellite dish
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,800,000 DH
					</span>"
Sell apartment in Maârif Extension. 3 lar...,Published today,"2 bedrooms, 100 m²","Maârif Extension in
   					Casablanca","get a great deal by buying this apartment. price 1,300,000 dh. 2 rooms, 2 bathrooms, 100 m². 3 rooms. 2nd level. less than 20 years. covering: marble. caretaker service available, integrated air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Magnificent villa for sale in Laymoune. 6...,Published today,"4 bedrooms, 496 m²","Nassim 2 in
   					Casablanca","very nice villa for sale combining luxury and comfort. price 4,600,000 dh. 6 living areas, 4 bedrooms, 3 bathrooms, floor area 496 m². good condition. perfectly equipped with reinforced door, central
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,600,000 DH
					</span>"
Find an apartment to buy in Bourgogne Oue...,Published today,"1 bedroom, 47 m²","Bourgogne Ouest in
   					Casablanca","don't miss out on this apartment for sale. price 1,100,000 dh. 2 living areas, 1 bathroom, area 47 m². 1 room. 3rd on the top floor. less than 1 year. covering: marble. comfort and security with central
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,100,000 DH
					</span>"
Apartment for sale in Ahl Loghlam (Hay As...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
   					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Apartment to purchase in Bernoussi. 3 Sma...,Published today,"3 bedrooms, 99 m²","Bernoussi in
   					Casablanca","look over this apartment for sale. price 935,000 dh. 4 living areas, 3 rooms, 2 bathrooms, area 99 m². residence with swimming pool, integrated air conditioning.

come and check out this apartment for sale
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">935,000 DH
					</span>"
Apartment for sale in Maârif. Small area...,Published today,"1 bedroom, 57 m²","Maârif in
   					Casablanca","lovely apartment for sale. price 1,100,000 dh. 2 living areas, 2 bathrooms, 57 m². 1 room. 3rd level. new. comfort and security with caretaker service, swimming pool and air conditioning.

this apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,160,000 DH
					</span>"
Apartment for sale in Bernoussi. Large ar...,Published today,"2 bedrooms, 72 m²","Bernoussi in
   					Casablanca","amazing deal on this apartment for sale. price 670,000 dh. 3 living areas, 2 rooms, 1 bathroom, floor area 72 m². residence with swimming pool, integrated air conditioning.

come and check out this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">670,000 DH
					</span>"
Apartment for sale in Maârif. 3 rooms. Re...,Published today,"3 bedrooms, 109 m²","Maârif in
   					Casablanca","don't miss out on this apartment for sale. price 2,980,000 dh. 4 living areas, 2 bathrooms, 109 m². 3 rooms. 2nd storey. less than 1 year. thermal insulation and soundproofing, air conditioning
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,980,000 DH
					</span>"
Apartment to purchase in Maârif. 3 beauti...,Published today,"3 bedrooms, 119 m²","Maârif in
   					Casablanca","don't miss out on this apartment for sale. price 1,953,000 dh. 3 bedrooms, 2 bathrooms, 119 m². enjoy the comfort of the air conditioning. the residence also has a caretaker service and a swimming
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,953,000 DH
					</span>"
Apartment for sale in City Dar Es Salaam...,Published today,"3 bedrooms, 98 m²","City Dar Es Salaam in
	 					Casablanca","lovely apartment for sale. price 977,000 dh. 3 rooms, 1 bathroom, 98 m². 4 rooms. 4th property storey. new. lift in the residence.

this apartment is for sale in city dar es salaam, casablanca. equipped
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">977,000 DH
					</span>"
Apartment for sale in Californie. 3 beaut...,Published today,"3 bedrooms, 85 m²","Californie in
	 					Casablanca","get a great deal by buying this apartment. 3 rooms, 2 bathrooms, area 85 m².

this apartment is for sale in californie, casablanca. security assured. fully equipped kitchen.","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Apartment to purchase in Casablanca Finan...,Published today,"3 bedrooms, 157 m²","Casablanca Finance City in
	 					Casablanca","look over this apartment for sale. price 2,800,000 dh. 3 rooms, 2 bathrooms, 157 m². comfort and security with caretaker service, swimming pool and air conditioning.

this apartment is for sale in
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,800,000 DH
					</span>"
Apartment for sale in Maârif Extension. S...,Published today,"2 bedrooms, 83 m²","Maârif Extension in
	 					Casablanca","don't miss out on this apartment for sale. price 1,525,000 dh. 3 living areas, 2 bathrooms, area 83 m². 2 rooms. 3rd storey. less than 1 year. green areas, no lift.

come and check out this apartment for
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,525,000 DH
					</span>"
Apartment to purchase in Roches Noires. T...,Published today,"2 bedrooms, 85 m²","Roches Noires in
	 					Casablanca","don't miss out on this apartment for sale. price 1,075,000 dh. 2 rooms, 2 bathrooms, area 85 m². 3 rooms. 2nd ground floor. new. integrated air conditioners.

this apartment is offered for sale in roches
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,075,000 DH
					</span>"
Apartment for sale in Aïn Sebaâ. Surface...,Published today,"2 bedrooms, 77 m²","Aïn Sebaâ in
	 					Casablanca","the residential project ""as living"" is the new symbol of modernity in the ain sebaâ district.

the project offers luxury apartments and studios ranging from 41 to 126 m² from 483,000 dh.

- 1 or 2 or 3
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">916,300 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published today,"2 bedrooms, 50 m²","Bernoussi in
	 					Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Beautiful apartment for sale in Ahl Loghl...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Residences Al Hamd 2,,,City Dar Es Salaam in Casablanca,"the al hamd 2 residence: offers its 2nd phase in a closed and secured residence

the residence al hamd 2, in the district al oulfa, proposes you apartments of standing well arranged of a surface going from 73 to 105 m ², and this, at a price impossible to circumvent
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>694,000 DH
					</span>"
Apartment for sale in Bourgogne Ouest. Ar...,Published 1 day ago,"1 bedroom, 65 m²","Bourgogne Ouest in
   						Casablanca","buy your apartment. price 980,000 dh. 2 living areas, 1 bathroom, area 65 m². 1 room. 4th ground floor. new. with lift, car parking spaces, balcony.

come and check out this apartment for sale in bourgogne
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">980,000 DH
					</span>"
Sell apartment in Ain Diab Extension. 3 r...,Published 1 day ago,"3 bedrooms, 80 m²","Ain Diab Extension in
   						Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to its
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,915,000 DH
					</span>"
Find an apartment to buy in Californie. 3...,Published 1 day ago,"2 bedrooms, 123 m²","Californie in
   						Casablanca","lovely apartment for sale. price 2,151,000 dh. 3 living areas, 2 private bathrooms, 123 m². 2 bedrooms. new. air conditioning.

this apartment is for sale in californie. well equipped kitchen. peace of mind
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,151,000 DH
					</span>"
Fabulous apartment for sale in Californie...,Published 1 day ago,"3 bedrooms, 85 m²","Californie in
   						Casablanca","ideally located in the heart of the california district, haven real estate offers its future owners a strategic urban location combining modernity and security
the project offers sunny apartments with high-end
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">
							Price on request
						
					</span>"
Apartment to purchase in Bernoussi. Large...,Published 1 day ago,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","this is an economic project of the ikamati group.
2 to 3 bedrooms living room 2 bathrooms
elevator
r 6
project under construction
price : 250.000 dh
surface: between 50 m² and 65m²
best location: between sidi
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Fabulous apartment for sale in Californie...,Published 1 day ago,"3 bedrooms, 127 m²","Californie in
   						Casablanca","utopia, the first residential complex in the california district!
imagine living in an idyllic setting with a multitude of relaxation and leisure areas within the residence itself: swimming pool, green areas,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,030,000 DH
					</span>"
Beautiful apartment for sale in Gauthier...,Published 1 day ago,"1 bedroom, 59 m²","Gauthier in
   						Casablanca","lovely apartment for sale. price 1,300,000 dh. 2 living areas, 2 bathrooms, 59 m². 1 room. 3rd storey. less than 1 year. covering: marble. enjoy a beautiful terrace. also has a lift.

this apartment is offered
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Apartment to purchase in Beauséjour. 1 lo...,Published 1 day ago,"1 bedroom, 45 m²","Beauséjour in
   						Casablanca","get a great deal by buying this apartment. price 730,000 dh. 2 living areas, 1 bathroom, 45 m². 1 bedroom. 4th storey. less than 1 year. covering: marble. enjoy the comfort of the air conditioning. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">730,000 DH
					</span>"
Sell apartment in Ahl Loghlam (Hay Assala...,Published 1 day ago,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
   						Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Offices & shops for sale in Maârif. Area...,Published 1 day ago,"2 bedrooms, 95 m²","Maârif in
   						Casablanca","offices & shops for sale. 1 bathroom, area of ​​141 m². new.

offices & shops for sale in maârif, casablanca. comfort and security with caretaker service and air conditioning. double glazing.

nearby: public
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,565,000 DH
					</span>"
Apartment to purchase in Al Azhar. 1 love...,Published 1 day ago,"3 bedrooms, 90 m²","Al Azhar in
   						Casablanca","buy your apartment. price 560,000 dh. 2 living areas, 2 bathrooms, 51 m². 1 room. new. residence equipped with a lift. you will also enjoy a beautiful terrace.

come and check out this apartment for sale in al
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">780,000 DH
					</span>"
Sale of a lovely apartment in Belvédère...,Published 1 day ago,"3 bedrooms, 148 m²","Belvédère in
   						Casablanca","don't miss out on this apartment for sale. price 1,680,000 dh. 5 living areas, 2 bathrooms, 148 m². 3 rooms. new. floor type: marble. no lift, car parking spaces, large terrace.

come and check out this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,680,000 DH
					</span>"
Apartment for sale in Maârif. 3 lovely ro...,Published 1 day ago,"2 bedrooms, 81 m²","Maârif in
   						Casablanca","get a great deal by buying this apartment. price 1,736,000 dh. 4 living areas, 2 bathrooms, area 105 m². 3 rooms. 4th storey. new. comfort and security with caretaker service, swimming pool and air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,400,000 DH
					</span>"
Beautiful apartment for sale in Ain Borja...,Published 1 day ago,"2 bedrooms, 75 m²","Ain Borja in
   						Casablanca","get a great deal by buying this apartment. price 847,500 dh. 3 living areas, 1 bathroom, area 75 m². 2 rooms. new. lift.

ideal if you want to buy an apartment in ain borja, casablanca. equipped kitchen.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">847,500 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published 1 day ago,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Apartment for sale in Les princesses. 3 l...,Published today,"2 bedrooms, 116 m²","Les princesses in
   					Casablanca","amazing deal on this apartment for sale. price 1,836,000 dh. 2 bedrooms, 2 bathrooms, 116 m². 3 rooms. less than 5 years. floor type: marble. comfort and tradition with a beautiful moroccan living room.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,836,000 DH
					</span>"
Find an apartment for rent in Bourgogne O...,Published today,"5 bedrooms, 480 m²","Sidi Maarouf in
   					Casablanca","nice apartment for rent. price 13,000 dh. 3 rooms, 3 bathrooms, area 180 m². 5 rooms. 5th property storey. less than 20 years. floor type: marble. no lift.

this apartment is offered for rent in bourgogne
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">5,200,000 DH
					</span>"
Sell apartment in Bourgogne Ouest. 2 room...,Published today,"2 bedrooms, 109 m²","Bourgogne Ouest in
   					Casablanca","unique opportunity in this apartment for sale. price 1,300,000 dh. 3 living areas, 1 bathroom, area 109 m². 2 rooms. 5th on the first floor. less than 30 years. due for reform. floor type: tiled. residence
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Sale of a lovely apartment in Bernoussi...,Published today,"2 bedrooms, 82 m²","Bernoussi in
   					Casablanca","unique opportunity in this apartment for sale. price 520,000 dh. 2 rooms, 1 bathroom, 82 m². 3 rooms. 1st storey. less than 20 years. covering: tiled. garden and terrace suitable for relaxation.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">520,000 DH
					</span>"
Find an apartment to buy in Oulfa. 2 beau...,Published today,"2 bedrooms, 87 m²","Oulfa in
   					Casablanca","ideal apartment for sale. price 750,000 dh. 3 living areas, 2 bathrooms, 87 m². 2 rooms. 4th ground floor. less than 5 years. floor type: marble. secured residence. superb moroccan living room and
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">750,000 DH
					</span>"
Apartment for sale in Mers Sultan. 3 love...,Published today,"3 bedrooms, 179 m²","Mers Sultan in
   					Casablanca","lovely apartment for sale. price 1,700,000 dh. 5 living areas, 2 bathrooms, 179 m². 3 rooms. 1st storey. less than 30 years. due for reform. comfort and tradition with a beautiful moroccan living room. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,700,000 DH
					</span>"
Find an apartment to buy in Maârif Extens...,Published today,"3 bedrooms, 100 m²","Maârif Extension in
   					Casablanca","look over this apartment for sale. price 1,523,600 dh. 4 living areas, 2 private bathrooms, 100 m². 3 bedrooms. 2nd ground floor. less than 20 years. floor type: tiled. boiler.

ideal if you want to buy an
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,523,600 DH
					</span>"
Beautiful apartment for sale in Les Hôpit...,Published today,"4 bedrooms, 177 m²","Les Hôpitaux in
   					Casablanca","unique opportunity in this apartment for sale. price 1,550,000 dh. 5 living areas, 1 bathroom, area 177 m². 4 bedrooms. 4th storey. less than 30 years. no lift, large terrace.

ideal if you want to buy an
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,550,000 DH
					</span>"
Fabulous apartment for sale in Ain Diab...,Published today,"3 bedrooms, 193 m²","Ain Diab in
   					Casablanca","lovely apartment for sale. price 4,150,000 dh. 7 living areas, 3 bathrooms, 193 m². 3 bedrooms. less than 20 years. traditional decor with beautiful moroccan living room. the property is also equipped with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,150,000 DH
					</span>"
High quality villa for sale in Ain Diab...,Published today,"4 bedrooms, 370 m²","Ain Diab in
   					Casablanca","superb benefits with this villa for sale. price 8,200,000 dh. 9 living areas, 3 private bathrooms, 370 m². 4 bedrooms. good condition. usable fireplace, caretaker service, property with swimming
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,200,000 DH
					</span>"
Luxury Villa for sale in Nassim 1. 4 love...,Published today,"4 bedrooms, 320 m²","Nassim 1 in
	 					Casablanca","exceptional villa for sale. price 3,470,000 dh. 5 living areas, 3 bathrooms, 320 m². 4 rooms. good condition. residence perfectly equipped and a carpark. you will also have a garden and a beautiful
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">3,470,000 DH
					</span>"
Apartment to purchase in Al Azhar. 1 love...,Published today,"2 bedrooms, 78 m²","Al Azhar in
	 					Casablanca","buy your apartment. price 560,000 dh. 2 living areas, 2 bathrooms, 51 m². 1 room. new. residence equipped with a lift. you will also enjoy a beautiful terrace.

come and check out this apartment for sale
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">690,000 DH
					</span>"
Sale of a lovely apartment in Ain Diab Ex...,Published today,"3 bedrooms, 80 m²","Ain Diab Extension in
	 					Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,915,000 DH
					</span>"
Find an apartment to buy in La Vilette. 1...,Published today,"1 bedroom, 55 m²","La Vilette in
	 					Casablanca","built in r 5, aday la villette is a residence strategically located in the district of la villette, casablanca, offering luxury apartments with an area of 54m ² to 110 m², from 589 000 dh, price 100%
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">589,000 DH
					</span>"
Fabulous apartment for sale in City Dar E...,Published today,"2 bedrooms, 79 m²","City Dar Es Salaam in
	 					Casablanca","ideal apartment for sale. price 793,000 dh. 3 living areas, 1 bathroom, area 79 m². 2 rooms. 2nd storey. new. with lift.

come and check out this apartment for sale in city dar es salaam, casablanca.
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">793,000 DH
					</span>"
Sell apartment in Maârif Extension. 3 roo...,Published today,"2 bedrooms, 70 m²","Maârif Extension in
	 					Casablanca","ideal for investors or young professionals looking to buy a property, the diaz residence is a project that reconciles the city centre with unprecedented calm.

avant-gardism and comfort, define perfectly
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,339,000 DH
					</span>"
Sale of a lovely apartment in Tantonville...,Published today,"3 bedrooms, 150 m²","Tantonville in
	 					Casablanca","lovely apartment for sale. price 2,625,000 dh. 4 living areas, 3 rooms, 2 bathrooms, 150 m². no lift, large terrace.

come and check out this apartment for sale in tantonville. caretaker
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,625,000 DH
					</span>"
Fabulous apartment for sale in Maârif Ext...,Published today,"2 bedrooms, 86 m²","Maârif Extension in
	 					Casablanca","ideal for investors or young professionals looking to buy a property, the diaz residence is a project that reconciles the city centre with unprecedented calm.

avant-gardism and comfort, define perfectly
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,601,000 DH
					</span>"
New homes - Villas / Luxury Homes,,,Dar Bouazza,"only 5 minutes from the morocco mall, la colline de l'océan is a secure project composed of ultramodern villas that can be customized to your taste.
in addition to an unobstructed view of the atlantic ocean, la colline de l'océan offers a magical living environment, between
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
						
						
							Price on request
						
					</span>"
Apartment for sale in Oasis. 1 lovely roo...,Published 1 day ago,"2 bedrooms, 102 m²","Oasis in
   						Casablanca","look over this apartment for sale. price 2,000,000 dh. 3 living areas, 2 private bathrooms, 102 m². 2 rooms. new. secured residence with satellite dish. the property also has a beautiful traditional moroccan
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,000,000 DH
					</span>"
Sell apartment in Ahl Loghlam (Hay Assala...,Published 1 day ago,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
   						Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Beautiful apartment for sale in Belvédère...,Published 1 day ago,"3 bedrooms, 148 m²","Belvédère in
   						Casablanca","ideal apartment for sale. price 1,660,000 dh. 3 rooms, 2 bathrooms, area 148 m². 5 rooms. 1st on the top floor. new. covering: marble. secured residence. superb moroccan living room and satellite dish.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,660,000 DH
					</span>"
High quality house for sale in Californie...,Published 1 day ago,"4 bedrooms, 1500 m²","Californie in
   						Casablanca","high - end amenities with this villa for sale. price 22,000,000 dh. 4 rooms, 3 bathrooms, area 1500 m². 6 rooms. less than 20 years. floor type: marble. enjoy the comfort of the fireplace and the air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">22,000,000 DH
					</span>"
Luxury villa for sale in Californie. 10 l...,Published 1 day ago,"5 bedrooms, 2527 m²","Californie in
   						Casablanca","luxury villa for sale. price 28,000,000 dh. 10 living areas, 4 private bathrooms, 2527 m². 5 rooms. less than 20 years. covering: marble. living room with fireplace, residence with caretaker, residence with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">28,000,000 DH
					</span>"
Luxury home for sale in Californie. 5 lov...,Published 1 day ago,"5 bedrooms, 1000 m²","Californie in
   						Casablanca","luxury amenities with this villa for sale. price 20,000,000 dh. 5 rooms, 4 bathrooms, area 1000 m². 10 rooms. less than 5 years. covering: marble. secured residence with reinforced door. the property also has a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">20,000,000 DH
					</span>"
High quality house for sale in CIL (Hay S...,Published 1 day ago,"4 bedrooms, 560 m²","CIL (Hay Salam) in
   						Casablanca","luxury amenities with this villa for sale. price 9,500,000 dh. 4 bedrooms, 3 bathrooms, 560 m². 8 rooms. less than 20 years. floor type: marble. secured residence. superb moroccan living room and satellite
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,500,000 DH
					</span>"
Magnificent villa for sale in Californie...,Published 1 day ago,"4 bedrooms, 530 m²","Californie in
   						Casablanca","exceptional villa for sale. price 9,000,000 dh. 8 living areas, 3 bathrooms, 530 m². 4 rooms. less than 20 years. floor type: marble. living room with fireplace, residence with caretaker, large swimming pool,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,000,000 DH
					</span>"
Beautiful apartment for sale in Californi...,Published 1 day ago,"3 bedrooms, 85 m²","Californie in
   						Casablanca","buy your apartment. 3 rooms, 2 bathrooms, 85 m².

this apartment is for sale in californie, casablanca. security. fitted kitchen.","<span class=""priceTag hardShadow float-right floatL"">
							Price on request
						
					</span>"
Fabulous apartment for sale in Bernoussi...,Published 1 day ago,"2 bedrooms, 50 m²","Bernoussi in
   						Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Sell apartment in La Gironde. 3 comfortab...,Published 1 day ago,"3 bedrooms, 124 m²","La Gironde in
   						Casablanca","get a great deal by buying this apartment. price 1,380,000 dh. 3 bedrooms, 2 bathrooms, 124 m². 5 rooms. 4th level. new. covering: marble. secured residence with satellite dish. the property also has a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,380,000 DH
					</span>"
Sale of a lovely apartment in Roches Noir...,Published 1 day ago,"2 bedrooms, 90 m²","Roches Noires in
   						Casablanca","get a great deal by buying this apartment. price 1,034,000 dh. 3 living areas, 2 rooms, 2 bathrooms, area 94 m². no lift.

ideal if you want to buy an apartment in roches noires, casablanca.

close to all
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">990,000 DH
					</span>"
Apartment for sale in Aïn Sebaâ. 2 rooms...,Published 1 day ago,"2 bedrooms, 60 m²","Aïn Sebaâ in
   						Casablanca","amazing deal on this apartment for sale. 4 living areas, 1 bathroom, 60 m². 2 rooms. 3rd property storey. less than 5 years.

ideal if you want to buy an apartment in aïn sebaâ. living room with moroccan decor,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">
							Price on request
						
					</span>"
Find an apartment to buy in Bernoussi. 4...,Published 1 day ago,"3 bedrooms, 84 m²","Bernoussi in
   						Casablanca","don't miss out on this apartment for sale. price 520,000 dh. 3 rooms, 1 bathroom, area 84 m². 4 rooms. 4th ground floor. less than 5 years.

ideal if you want to buy an apartment in bernoussi,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">520,000 DH
					</span>"
Fabulous apartment for sale in Ahl Loghla...,Published 1 day ago,"3 bedrooms, 110 m²","Ahl Loghlam (Hay Assalam) in
   						Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more exactly
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">455,000 DH
					</span>"
Luxury home for sale in Ain Diab. Dimensi...,Published today,"3 bedrooms, 518 m²","Ain Diab in
   					Casablanca","high quality amenities with this beautiful house for sale. price 8,750,000 dh. 3 bedrooms, 2 bathrooms, 518 m². 7 rooms. due for reform.

this beautiful villa is for sale in ain diab, casablanca.","<span class=""priceTag hardShadow float-right floatL"">8,750,000 DH
					</span>"
Beautiful apartment for sale in Racine. 3...,Published today,"3 bedrooms, 190 m²","Racine in
   					Casablanca","unique opportunity in this apartment for sale. price 3,900,000 dh. 8 living areas, 3 bathrooms, area 190 m². 3 bedrooms. 2nd on the top floor. less than 20 years. no lift, balcony.

come and check out this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,900,000 DH
					</span>"
